,clusters,outliers,percent_outliers
A,2.0,13.0,1.6476552598225602
B,1.0,195.0,25.45691906005222
C,4.0,52.0,7.065217391304348
D,3.0,105.0,13.043478260869565
E,5.0,199.0,25.911458333333332
F,2.0,37.0,4.774193548387097
G,3.0,150.0,19.404915912031047
H,5.0,110.0,14.986376021798364
I,5.0,181.0,23.973509933774835
J,5.0,163.0,21.82061579651941
K,4.0,194.0,26.251691474966172
L,3.0,19.0,2.4967148488830486
M,3.0,184.0,23.232323232323232
N,2.0,197.0,25.15964240102171
O,1.0,191.0,25.36520584329349
P,3.0,115.0,14.32129514321295
Q,3.0,63.0,8.045977011494253
R,1.0,36.0,4.749340369393139
S,5.0,139.0,18.58288770053476
T,6.0,74.0,9.296482412060302
U,2.0,32.0,3.936039360393604
V,3.0,114.0,14.921465968586386
W,3.0,203.0,26.99468085106383
X,2.0,99.0,12.579415501905972
Y,4.0,152.0,19.338422391857506
Z,3.0,117.0,15.940054495912806
sum,,,15.67
